group (likely analyzer),histogram
Other / uncategorized,RecoilDQM/res_pt_beam_vs_p
Other / uncategorized,RecoilDQM/res_qop
Other / uncategorized,RecoilDQM/res_qop_vs_p
Other / uncategorized,RecoilDQM/res_theta
Other / uncategorized,RecoilDQM/res_theta_vs_p
Other / uncategorized,RecoilDQM/res_z0
Other / uncategorized,RecoilDQM/res_z0_vs_p
Other / uncategorized,RecoilDQM/target_Pulls_of_loc0
Other / uncategorized,RecoilDQM/target_Pulls_of_loc1
Other / uncategorized,RecoilDQM/target_pulls_loc0-vs-N_hits
Other / uncategorized,RecoilDQM/target_pulls_loc0-vs-trk_p
Other / uncategorized,RecoilDQM/target_pulls_loc1-vs-N_hits
Other / uncategorized,RecoilDQM/target_pulls_loc1-vs-trk_p
Other / uncategorized,RecoilDQM/target_res_loc0-vs-N_hits
Other / uncategorized,RecoilDQM/target_res_loc0-vs-trk_p
Other / uncategorized,RecoilDQM/target_res_loc1-vs-N_hits
Other / uncategorized,RecoilDQM/target_res_loc1-vs-trk_p
Other / uncategorized,RecoilDQM/target_sp_hit_X
Other / uncategorized,RecoilDQM/target_sp_hit_Y
Other / uncategorized,RecoilDQM/theta
Other / uncategorized,RecoilDQM/theta_err
Other / uncategorized,RecoilDQM/trk_ecal_loc0
Other / uncategorized,RecoilDQM/trk_ecal_loc0-sp_hit_X
Other / uncategorized,RecoilDQM/trk_ecal_loc1
Other / uncategorized,RecoilDQM/trk_ecal_loc1-sp_hit_Y
Other / uncategorized,RecoilDQM/trk_target_loc0
Other / uncategorized,RecoilDQM/trk_target_loc0-sp_hit_X
Other / uncategorized,RecoilDQM/trk_target_loc1
Other / uncategorized,RecoilDQM/trk_target_loc1-sp_hit_Y
Other / uncategorized,RecoilDQM/truth_LayersHit
Other / uncategorized,RecoilDQM/truth_N_tracks
Other / uncategorized,RecoilDQM/truth_PID
Other / uncategorized,RecoilDQM/truth_beam_angle
Other / uncategorized,RecoilDQM/truth_d0
Other / uncategorized,RecoilDQM/truth_electron_p
Other / uncategorized,RecoilDQM/truth_kminus_p
Other / uncategorized,RecoilDQM/truth_kplus_p
Other / uncategorized,RecoilDQM/truth_nHits
Other / uncategorized,RecoilDQM/truth_p
Other / uncategorized,RecoilDQM/truth_phi
Other / uncategorized,RecoilDQM/truth_piminus_p
Other / uncategorized,RecoilDQM/truth_piplus_p
Other / uncategorized,RecoilDQM/truth_positron_p
Other / uncategorized,RecoilDQM/truth_proton_p
Other / uncategorized,RecoilDQM/truth_qop
Other / uncategorized,RecoilDQM/truth_theta
Other / uncategorized,RecoilDQM/truth_z0
Other / uncategorized,RecoilDQM/z0
Other / uncategorized,RecoilDQM/z0_err
Other / uncategorized,RecoilDQM/z0_err_vs_p
Other / uncategorized,RecoilGASDQM
Other / uncategorized,RecoilGASDQM/Chi2
Other / uncategorized,RecoilGASDQM/Chi2_per_ndf
Other / uncategorized,RecoilGASDQM/LayersHit
Other / uncategorized,RecoilGASDQM/N_tracks
Other / uncategorized,RecoilGASDQM/d0
Other / uncategorized,RecoilGASDQM/d0_err
Other / uncategorized,RecoilGASDQM/d0_err_vs_p
Other / uncategorized,RecoilGASDQM/dup_Chi2
Other / uncategorized,RecoilGASDQM/dup_Chi2_per_ndf
Other / uncategorized,RecoilGASDQM/dup_LayersHit
Other / uncategorized,RecoilGASDQM/dup_d0
Other / uncategorized,RecoilGASDQM/dup_nHits
Other / uncategorized,RecoilGASDQM/dup_nHoles
Other / uncategorized,RecoilGASDQM/dup_nShared
Other / uncategorized,RecoilGASDQM/dup_p
Other / uncategorized,RecoilGASDQM/dup_phi
Other / uncategorized,RecoilGASDQM/dup_qop
Other / uncategorized,RecoilGASDQM/dup_theta
Other / uncategorized,RecoilGASDQM/dup_z0
Other / uncategorized,RecoilGASDQM/ecal_Pulls_of_loc0
Other / uncategorized,RecoilGASDQM/ecal_Pulls_of_loc1
Other / uncategorized,RecoilGASDQM/ecal_pulls_loc0-vs-N_hits
Other / uncategorized,RecoilGASDQM/ecal_pulls_loc0-vs-trk_p
Other / uncategorized,RecoilGASDQM/ecal_pulls_loc1-vs-N_hits
Other / uncategorized,RecoilGASDQM/ecal_pulls_loc1-vs-trk_p
Other / uncategorized,RecoilGASDQM/ecal_res_loc0-vs-N_hits
Other / uncategorized,RecoilGASDQM/ecal_res_loc0-vs-trk_p
Other / uncategorized,RecoilGASDQM/ecal_res_loc1-vs-N_hits
Other / uncategorized,RecoilGASDQM/ecal_res_loc1-vs-trk_p
Other / uncategorized,RecoilGASDQM/ecal_sp_hit_X
Other / uncategorized,RecoilGASDQM/ecal_sp_hit_Y
Other / uncategorized,RecoilGASDQM/fake_Chi2
Other / uncategorized,RecoilGASDQM/fake_Chi2_per_ndf
Other / uncategorized,RecoilGASDQM/fake_LayersHit
Other / uncategorized,RecoilGASDQM/fake_d0
Other / uncategorized,RecoilGASDQM/fake_nHits
Other / uncategorized,RecoilGASDQM/fake_nHoles
Other / uncategorized,RecoilGASDQM/fake_nShared
Other / uncategorized,RecoilGASDQM/fake_p
Other / uncategorized,RecoilGASDQM/fake_phi
Other / uncategorized,RecoilGASDQM/fake_qop
Other / uncategorized,RecoilGASDQM/fake_theta
Other / uncategorized,RecoilGASDQM/fake_z0
Other / uncategorized,RecoilGASDQM/match_LayersHit
Other / uncategorized,RecoilGASDQM/match_PID
Other / uncategorized,RecoilGASDQM/match_beam_angle
Other / uncategorized,RecoilGASDQM/match_d0
Other / uncategorized,RecoilGASDQM/match_electron_p
Other / uncategorized,RecoilGASDQM/match_kminus_p
Other / uncategorized,RecoilGASDQM/match_kplus_p
Other / uncategorized,RecoilGASDQM/match_nHits
Other / uncategorized,RecoilGASDQM/match_p
Other / uncategorized,RecoilGASDQM/match_phi
Other / uncategorized,RecoilGASDQM/match_piminus_p
Other / uncategorized,RecoilGASDQM/match_piplus_p
Other / uncategorized,RecoilGASDQM/match_positron_p
Other / uncategorized,RecoilGASDQM/match_prob
Other / uncategorized,RecoilGASDQM/match_proton_p
Other / uncategorized,RecoilGASDQM/match_qop
Other / uncategorized,RecoilGASDQM/match_theta
Other / uncategorized,RecoilGASDQM/match_z0
Other / uncategorized,RecoilGASDQM/nHits
Other / uncategorized,RecoilGASDQM/nHoles
Other / uncategorized,RecoilGASDQM/nShared
Other / uncategorized,RecoilGASDQM/ndf
Other / uncategorized,RecoilGASDQM/p
Other / uncategorized,RecoilGASDQM/p_err
Other / uncategorized,RecoilGASDQM/p_err_vs_p
Other / uncategorized,RecoilGASDQM/p_err_vs_p_10hits
Other / uncategorized,RecoilGASDQM/p_err_vs_p_8hits
Other / uncategorized,RecoilGASDQM/p_err_vs_p_9hits
Other / uncategorized,RecoilGASDQM/phi
Other / uncategorized,RecoilGASDQM/phi_err
Other / uncategorized,RecoilGASDQM/pt_beam
Other / uncategorized,RecoilGASDQM/pt_bending
Other / uncategorized,RecoilGASDQM/pull_d0
Other / uncategorized,RecoilGASDQM/pull_d0_vs_p
Other / uncategorized,RecoilGASDQM/pull_p
Other / uncategorized,RecoilGASDQM/pull_phi
Other / uncategorized,RecoilGASDQM/pull_phi_vs_p
Other / uncategorized,RecoilGASDQM/pull_qop
Other / uncategorized,RecoilGASDQM/pull_qop_vs_p
Other / uncategorized,RecoilGASDQM/pull_theta
Other / uncategorized,RecoilGASDQM/pull_theta_vs_p
Other / uncategorized,RecoilGASDQM/pull_z0
Other / uncategorized,RecoilGASDQM/pull_z0_vs_p
Other / uncategorized,RecoilGASDQM/px
Other / uncategorized,RecoilGASDQM/py
Other / uncategorized,RecoilGASDQM/pz
Other / uncategorized,RecoilGASDQM/qop
Other / uncategorized,RecoilGASDQM/qop_err
Other / uncategorized,RecoilGASDQM/res_d0
Other / uncategorized,RecoilGASDQM/res_d0_vs_p
Other / uncategorized,RecoilGASDQM/res_p
Other / uncategorized,RecoilGASDQM/res_p_vs_p
Other / uncategorized,RecoilGASDQM/res_p_vs_p_10hits
Other / uncategorized,RecoilGASDQM/res_p_vs_p_8hits
Other / uncategorized,RecoilGASDQM/res_p_vs_p_9hits
Other / uncategorized,RecoilGASDQM/res_phi
Other / uncategorized,RecoilGASDQM/res_phi_vs_p
Other / uncategorized,RecoilGASDQM/res_pt_beam
Other / uncategorized,RecoilGASDQM/res_pt_beam_vs_p
Other / uncategorized,RecoilGASDQM/res_qop
Other / uncategorized,RecoilGASDQM/res_qop_vs_p
Other / uncategorized,RecoilGASDQM/res_theta
Other / uncategorized,RecoilGASDQM/res_theta_vs_p
Other / uncategorized,RecoilGASDQM/res_z0
Other / uncategorized,RecoilGASDQM/res_z0_vs_p
Other / uncategorized,RecoilGASDQM/target_Pulls_of_loc0
Other / uncategorized,RecoilGASDQM/target_Pulls_of_loc1
Other / uncategorized,RecoilGASDQM/target_pulls_loc0-vs-N_hits
Other / uncategorized,RecoilGASDQM/target_pulls_loc0-vs-trk_p
Other / uncategorized,RecoilGASDQM/target_pulls_loc1-vs-N_hits
Other / uncategorized,RecoilGASDQM/target_pulls_loc1-vs-trk_p
Other / uncategorized,RecoilGASDQM/target_res_loc0-vs-N_hits
Other / uncategorized,RecoilGASDQM/target_res_loc0-vs-trk_p
Other / uncategorized,RecoilGASDQM/target_res_loc1-vs-N_hits
Other / uncategorized,RecoilGASDQM/target_res_loc1-vs-trk_p
Other / uncategorized,RecoilGASDQM/target_sp_hit_X
Other / uncategorized,RecoilGASDQM/target_sp_hit_Y
Other / uncategorized,RecoilGASDQM/theta
Other / uncategorized,RecoilGASDQM/theta_err
Other / uncategorized,RecoilGASDQM/trk_ecal_loc0
Other / uncategorized,RecoilGASDQM/trk_ecal_loc0-sp_hit_X
Other / uncategorized,RecoilGASDQM/trk_ecal_loc1
Other / uncategorized,RecoilGASDQM/trk_ecal_loc1-sp_hit_Y
Other / uncategorized,RecoilGASDQM/trk_target_loc0
Other / uncategorized,RecoilGASDQM/trk_target_loc0-sp_hit_X
Other / uncategorized,RecoilGASDQM/trk_target_loc1
Other / uncategorized,RecoilGASDQM/trk_target_loc1-sp_hit_Y
Other / uncategorized,RecoilGASDQM/truth_LayersHit
Other / uncategorized,RecoilGASDQM/truth_N_tracks
Other / uncategorized,RecoilGASDQM/truth_PID
Other / uncategorized,RecoilGASDQM/truth_beam_angle
Other / uncategorized,RecoilGASDQM/truth_d0
Other / uncategorized,RecoilGASDQM/truth_electron_p
Other / uncategorized,RecoilGASDQM/truth_kminus_p
Other / uncategorized,RecoilGASDQM/truth_kplus_p
Other / uncategorized,RecoilGASDQM/truth_nHits
Other / uncategorized,RecoilGASDQM/truth_p
Other / uncategorized,RecoilGASDQM/truth_phi
Other / uncategorized,RecoilGASDQM/truth_piminus_p
Other / uncategorized,RecoilGASDQM/truth_piplus_p
Other / uncategorized,RecoilGASDQM/truth_positron_p
Other / uncategorized,RecoilGASDQM/truth_proton_p
Other / uncategorized,RecoilGASDQM/truth_qop
Other / uncategorized,RecoilGASDQM/truth_theta
Other / uncategorized,RecoilGASDQM/truth_z0
Other / uncategorized,RecoilGASDQM/z0
Other / uncategorized,RecoilGASDQM/z0_err
Other / uncategorized,RecoilGASDQM/z0_err_vs_p
Other / uncategorized,RecoilGSFDQM
Other / uncategorized,RecoilGSFDQM/Chi2
Other / uncategorized,RecoilGSFDQM/Chi2_per_ndf
Other / uncategorized,RecoilGSFDQM/LayersHit
Other / uncategorized,RecoilGSFDQM/N_tracks
Other / uncategorized,RecoilGSFDQM/d0
Other / uncategorized,RecoilGSFDQM/d0_err
Other / uncategorized,RecoilGSFDQM/d0_err_vs_p
Other / uncategorized,RecoilGSFDQM/dup_Chi2
Other / uncategorized,RecoilGSFDQM/dup_Chi2_per_ndf
Other / uncategorized,RecoilGSFDQM/dup_LayersHit
Other / uncategorized,RecoilGSFDQM/dup_d0
Other / uncategorized,RecoilGSFDQM/dup_nHits
Other / uncategorized,RecoilGSFDQM/dup_nHoles
Other / uncategorized,RecoilGSFDQM/dup_nShared
Other / uncategorized,RecoilGSFDQM/dup_p
Other / uncategorized,RecoilGSFDQM/dup_phi
Other / uncategorized,RecoilGSFDQM/dup_qop
Other / uncategorized,RecoilGSFDQM/dup_theta
Other / uncategorized,RecoilGSFDQM/dup_z0
Other / uncategorized,RecoilGSFDQM/ecal_Pulls_of_loc0
Other / uncategorized,RecoilGSFDQM/ecal_Pulls_of_loc1
Other / uncategorized,RecoilGSFDQM/ecal_pulls_loc0-vs-N_hits
Other / uncategorized,RecoilGSFDQM/ecal_pulls_loc0-vs-trk_p
Other / uncategorized,RecoilGSFDQM/ecal_pulls_loc1-vs-N_hits
Other / uncategorized,RecoilGSFDQM/ecal_pulls_loc1-vs-trk_p
Other / uncategorized,RecoilGSFDQM/ecal_res_loc0-vs-N_hits
Other / uncategorized,RecoilGSFDQM/ecal_res_loc0-vs-trk_p
Other / uncategorized,RecoilGSFDQM/ecal_res_loc1-vs-N_hits
Other / uncategorized,RecoilGSFDQM/ecal_res_loc1-vs-trk_p
Other / uncategorized,RecoilGSFDQM/ecal_sp_hit_X
Other / uncategorized,RecoilGSFDQM/ecal_sp_hit_Y
Other / uncategorized,RecoilGSFDQM/fake_Chi2
Other / uncategorized,RecoilGSFDQM/fake_Chi2_per_ndf
Other / uncategorized,RecoilGSFDQM/fake_LayersHit
Other / uncategorized,RecoilGSFDQM/fake_d0
Other / uncategorized,RecoilGSFDQM/fake_nHits
Other / uncategorized,RecoilGSFDQM/fake_nHoles
Other / uncategorized,RecoilGSFDQM/fake_nShared
Other / uncategorized,RecoilGSFDQM/fake_p
Other / uncategorized,RecoilGSFDQM/fake_phi
Other / uncategorized,RecoilGSFDQM/fake_qop
Other / uncategorized,RecoilGSFDQM/fake_theta
Other / uncategorized,RecoilGSFDQM/fake_z0
Other / uncategorized,RecoilGSFDQM/match_LayersHit
Other / uncategorized,RecoilGSFDQM/match_PID
Other / uncategorized,RecoilGSFDQM/match_beam_angle
Other / uncategorized,RecoilGSFDQM/match_d0
Other / uncategorized,RecoilGSFDQM/match_electron_p
Other / uncategorized,RecoilGSFDQM/match_kminus_p
Other / uncategorized,RecoilGSFDQM/match_kplus_p
Other / uncategorized,RecoilGSFDQM/match_nHits
Other / uncategorized,RecoilGSFDQM/match_p
Other / uncategorized,RecoilGSFDQM/match_phi
Other / uncategorized,RecoilGSFDQM/match_piminus_p
Other / uncategorized,RecoilGSFDQM/match_piplus_p
Other / uncategorized,RecoilGSFDQM/match_positron_p
Other / uncategorized,RecoilGSFDQM/match_prob
Other / uncategorized,RecoilGSFDQM/match_proton_p
Other / uncategorized,RecoilGSFDQM/match_qop
Other / uncategorized,RecoilGSFDQM/match_theta
Other / uncategorized,RecoilGSFDQM/match_z0
Other / uncategorized,RecoilGSFDQM/nHits
Other / uncategorized,RecoilGSFDQM/nHoles
Other / uncategorized,RecoilGSFDQM/nShared
Other / uncategorized,RecoilGSFDQM/ndf
Other / uncategorized,RecoilGSFDQM/p
Other / uncategorized,RecoilGSFDQM/p_err
Other / uncategorized,RecoilGSFDQM/p_err_vs_p
Other / uncategorized,RecoilGSFDQM/p_err_vs_p_10hits
Other / uncategorized,RecoilGSFDQM/p_err_vs_p_8hits
Other / uncategorized,RecoilGSFDQM/p_err_vs_p_9hits
Other / uncategorized,RecoilGSFDQM/phi
Other / uncategorized,RecoilGSFDQM/phi_err
Other / uncategorized,RecoilGSFDQM/pt_beam
Other / uncategorized,RecoilGSFDQM/pt_bending
Other / uncategorized,RecoilGSFDQM/pull_d0
Other / uncategorized,RecoilGSFDQM/pull_d0_vs_p
Other / uncategorized,RecoilGSFDQM/pull_p
Other / uncategorized,RecoilGSFDQM/pull_phi
Other / uncategorized,RecoilGSFDQM/pull_phi_vs_p
Other / uncategorized,RecoilGSFDQM/pull_qop
Other / uncategorized,RecoilGSFDQM/pull_qop_vs_p
Other / uncategorized,RecoilGSFDQM/pull_theta
Other / uncategorized,RecoilGSFDQM/pull_theta_vs_p
Other / uncategorized,RecoilGSFDQM/pull_z0
Other / uncategorized,RecoilGSFDQM/pull_z0_vs_p
Other / uncategorized,RecoilGSFDQM/px
Other / uncategorized,RecoilGSFDQM/py
Other / uncategorized,RecoilGSFDQM/pz
Other / uncategorized,RecoilGSFDQM/qop
Other / uncategorized,RecoilGSFDQM/qop_err
Other / uncategorized,RecoilGSFDQM/res_d0
Other / uncategorized,RecoilGSFDQM/res_d0_vs_p
Other / uncategorized,RecoilGSFDQM/res_p
Other / uncategorized,RecoilGSFDQM/res_p_vs_p
Other / uncategorized,RecoilGSFDQM/res_p_vs_p_10hits
Other / uncategorized,RecoilGSFDQM/res_p_vs_p_8hits
Other / uncategorized,RecoilGSFDQM/res_p_vs_p_9hits
Other / uncategorized,RecoilGSFDQM/res_phi
Other / uncategorized,RecoilGSFDQM/res_phi_vs_p
Other / uncategorized,RecoilGSFDQM/res_pt_beam
Other / uncategorized,RecoilGSFDQM/res_pt_beam_vs_p
Other / uncategorized,RecoilGSFDQM/res_qop
Other / uncategorized,RecoilGSFDQM/res_qop_vs_p
Other / uncategorized,RecoilGSFDQM/res_theta
Other / uncategorized,RecoilGSFDQM/res_theta_vs_p
Other / uncategorized,RecoilGSFDQM/res_z0
Other / uncategorized,RecoilGSFDQM/res_z0_vs_p
Other / uncategorized,RecoilGSFDQM/target_Pulls_of_loc0
Other / uncategorized,RecoilGSFDQM/target_Pulls_of_loc1
Other / uncategorized,RecoilGSFDQM/target_pulls_loc0-vs-N_hits
Other / uncategorized,RecoilGSFDQM/target_pulls_loc0-vs-trk_p
Other / uncategorized,RecoilGSFDQM/target_pulls_loc1-vs-N_hits
Other / uncategorized,RecoilGSFDQM/target_pulls_loc1-vs-trk_p
Other / uncategorized,RecoilGSFDQM/target_res_loc0-vs-N_hits
Other / uncategorized,RecoilGSFDQM/target_res_loc0-vs-trk_p
Other / uncategorized,RecoilGSFDQM/target_res_loc1-vs-N_hits
Other / uncategorized,RecoilGSFDQM/target_res_loc1-vs-trk_p
Other / uncategorized,RecoilGSFDQM/target_sp_hit_X
Other / uncategorized,RecoilGSFDQM/target_sp_hit_Y
Other / uncategorized,RecoilGSFDQM/theta
Other / uncategorized,RecoilGSFDQM/theta_err
Other / uncategorized,RecoilGSFDQM/trk_ecal_loc0
Other / uncategorized,RecoilGSFDQM/trk_ecal_loc0-sp_hit_X
Other / uncategorized,RecoilGSFDQM/trk_ecal_loc1
Other / uncategorized,RecoilGSFDQM/trk_ecal_loc1-sp_hit_Y
Other / uncategorized,RecoilGSFDQM/trk_target_loc0
Other / uncategorized,RecoilGSFDQM/trk_target_loc0-sp_hit_X
Other / uncategorized,RecoilGSFDQM/trk_target_loc1
Other / uncategorized,RecoilGSFDQM/trk_target_loc1-sp_hit_Y
Other / uncategorized,RecoilGSFDQM/truth_LayersHit
Other / uncategorized,RecoilGSFDQM/truth_N_tracks
Other / uncategorized,RecoilGSFDQM/truth_PID
Other / uncategorized,RecoilGSFDQM/truth_beam_angle
Other / uncategorized,RecoilGSFDQM/truth_d0
Other / uncategorized,RecoilGSFDQM/truth_electron_p
Other / uncategorized,RecoilGSFDQM/truth_kminus_p
Other / uncategorized,RecoilGSFDQM/truth_kplus_p
Other / uncategorized,RecoilGSFDQM/truth_nHits
Other / uncategorized,RecoilGSFDQM/truth_p
Other / uncategorized,RecoilGSFDQM/truth_phi
Other / uncategorized,RecoilGSFDQM/truth_piminus_p
Other / uncategorized,RecoilGSFDQM/truth_piplus_p
Other / uncategorized,RecoilGSFDQM/truth_positron_p
Other / uncategorized,RecoilGSFDQM/truth_proton_p
Other / uncategorized,RecoilGSFDQM/truth_qop
Other / uncategorized,RecoilGSFDQM/truth_theta
Other / uncategorized,RecoilGSFDQM/truth_z0
Other / uncategorized,RecoilGSFDQM/z0
Other / uncategorized,RecoilGSFDQM/z0_err
Other / uncategorized,RecoilGSFDQM/z0_err_vs_p
Other / uncategorized,SeedRecoilDQM
Other / uncategorized,SeedRecoilDQM/Chi2
Other / uncategorized,SeedRecoilDQM/Chi2_per_ndf
Other / uncategorized,SeedRecoilDQM/LayersHit
Other / uncategorized,SeedRecoilDQM/N_tracks
Other / uncategorized,SeedRecoilDQM/d0
Other / uncategorized,SeedRecoilDQM/d0_err
Other / uncategorized,SeedRecoilDQM/d0_err_vs_p
Other / uncategorized,SeedRecoilDQM/dup_Chi2
Other / uncategorized,SeedRecoilDQM/dup_Chi2_per_ndf
Other / uncategorized,SeedRecoilDQM/dup_LayersHit
Other / uncategorized,SeedRecoilDQM/dup_d0
Other / uncategorized,SeedRecoilDQM/dup_nHits
Other / uncategorized,SeedRecoilDQM/dup_nHoles
Other / uncategorized,SeedRecoilDQM/dup_nShared
Other / uncategorized,SeedRecoilDQM/dup_p
Other / uncategorized,SeedRecoilDQM/dup_phi
Other / uncategorized,SeedRecoilDQM/dup_qop
Other / uncategorized,SeedRecoilDQM/dup_theta
Other / uncategorized,SeedRecoilDQM/dup_z0
Other / uncategorized,SeedRecoilDQM/ecal_Pulls_of_loc0
Other / uncategorized,SeedRecoilDQM/ecal_Pulls_of_loc1
Other / uncategorized,SeedRecoilDQM/ecal_pulls_loc0-vs-N_hits
Other / uncategorized,SeedRecoilDQM/ecal_pulls_loc0-vs-trk_p
Other / uncategorized,SeedRecoilDQM/ecal_pulls_loc1-vs-N_hits
Other / uncategorized,SeedRecoilDQM/ecal_pulls_loc1-vs-trk_p
Other / uncategorized,SeedRecoilDQM/ecal_res_loc0-vs-N_hits
Other / uncategorized,SeedRecoilDQM/ecal_res_loc0-vs-trk_p
Other / uncategorized,SeedRecoilDQM/ecal_res_loc1-vs-N_hits
Other / uncategorized,SeedRecoilDQM/ecal_res_loc1-vs-trk_p
Other / uncategorized,SeedRecoilDQM/ecal_sp_hit_X
Other / uncategorized,SeedRecoilDQM/ecal_sp_hit_Y
Other / uncategorized,SeedRecoilDQM/fake_Chi2
Other / uncategorized,SeedRecoilDQM/fake_Chi2_per_ndf
Other / uncategorized,SeedRecoilDQM/fake_LayersHit
Other / uncategorized,SeedRecoilDQM/fake_d0
Other / uncategorized,SeedRecoilDQM/fake_nHits
Other / uncategorized,SeedRecoilDQM/fake_nHoles
Other / uncategorized,SeedRecoilDQM/fake_nShared
Other / uncategorized,SeedRecoilDQM/fake_p
Other / uncategorized,SeedRecoilDQM/fake_phi
Other / uncategorized,SeedRecoilDQM/fake_qop
Other / uncategorized,SeedRecoilDQM/fake_theta
Other / uncategorized,SeedRecoilDQM/fake_z0
Other / uncategorized,SeedRecoilDQM/match_LayersHit
Other / uncategorized,SeedRecoilDQM/match_PID
Other / uncategorized,SeedRecoilDQM/match_beam_angle
Other / uncategorized,SeedRecoilDQM/match_d0
Other / uncategorized,SeedRecoilDQM/match_electron_p
Other / uncategorized,SeedRecoilDQM/match_kminus_p
Other / uncategorized,SeedRecoilDQM/match_kplus_p
Other / uncategorized,SeedRecoilDQM/match_nHits
Other / uncategorized,SeedRecoilDQM/match_p
Other / uncategorized,SeedRecoilDQM/match_phi
Other / uncategorized,SeedRecoilDQM/match_piminus_p
Other / uncategorized,SeedRecoilDQM/match_piplus_p
Other / uncategorized,SeedRecoilDQM/match_positron_p
Other / uncategorized,SeedRecoilDQM/match_prob
Other / uncategorized,SeedRecoilDQM/match_proton_p
Other / uncategorized,SeedRecoilDQM/match_qop
Other / uncategorized,SeedRecoilDQM/match_theta
